Feature,Importance
spectral_contrast_band_3_mean,0.09283709473273628
low_freq_energy,0.073795084393818
chroma_7_mean,0.07116603950821983
chroma_12_mean,0.07103567869854409
spectral_flatness_median,0.054347346433523375
chroma_8_mean,0.05331889813454046
spectral_contrast_band_5_mean,0.04727335184427478
mfcc_4_median,0.04707615323462843
spectral_contrast_band_4_mean,0.04321979952619972
chroma_9_mean,0.04307906636037944
spectral_centroid_mean,0.04267001968842402
mfcc_5_mean,0.037958840048479645
mfcc_20_median,0.03720331366192301
mfcc_11_median,0.02839345292746344
spectral_centroid_median,0.02475294960774495
mfcc_11_mean,0.024545913904442735
spectral_contrast_band_2_mean,0.024173563581155872
mfcc_9_median,0.02314628526977765
mfcc_5_median,0.022662196867128604
mfcc_10_max,0.022631457682784708
chroma_1_mean,0.021034368745414454
mid_freq_energy,0.01752717489804737
mfcc_10_median,0.016977359331605137
high_freq_energy,0.015132355293640277
mfcc_10_mean,0.012369714636941623
mfcc_9_max,0.011974375145644743
mfcc_20_mean,0.00837622502411026
mfcc_9_min,0.004304310043708805
mfcc_6_median,0.004260975674394949
mfcc_9_mean,0.002756635100303437
